H_DNG_CD,M00,M10,M20,M30,M40,M50,M60,M70,F00,F10,F20,F30,F40,F50,F60,F70,SIDO_NM,SGG_NM,ADMI_NM
11650540,150.02,1844.4,2116.85,2712.56,3401.1,3507.37,2128.54,1551.56,221.81,1955.84,2586.52,3079.49,3730.49,3550.56,2453.37,2058.74,서울특별시,서초구,잠원동
11650550,15.2,175.02,199.94,295.34,339.82,484.38,309.39,150.63,16.45,126.43,150.7,169.57,212.52,240.27,200.43,180.87,서울특별시,서초구,반포본동
11650560,184.07,1685.74,1975.18,2796.22,3621.32,2913.79,1720.76,1444.65,305.29,1622.33,2472.49,3051.96,4107.72,2662.75,2022.67,1833.7,서울특별시,서초구,반포1동
11650570,210.03,2141.71,1196.58,1382.34,2334.97,2410.04,1415.4,1387.2,260.89,2151.23,1395.44,1706.44,3037.01,2515.06,1769.34,1845.05,서울특별시,서초구,반포2동
11650580,136.34,1304.26,1146.16,1118.32,1581.8,1918.3,1228.05,1037.59,142.67,1280.74,1283.87,1373.95,2110.44,2275.83,1535.94,1501.28,서울특별시,서초구,반포3동
11650581,236.96,1771.57,2472.65,2866.7,3121.69,3087.26,2288.51,1873.83,348.85,1901.7,3502.02,3907.99,4215.27,4270.03,3394.64,2430.84,서울특별시,서초구,반포4동
11650590,91.2,1045.78,1024.9,1175.3,1599.0,1753.95,1231.1,1130.51,179.41,1246.18,1202.29,1361.86,1975.61,1966.28,1465.94,1477.75,서울특별시,서초구,방배본동
11650600,44.84,827.79,1292.61,1592.06,1606.9,1529.65,1177.75,1205.02,102.21,848.11,1487.92,1772.77,1762.35,1648.84,1424.23,1512.8,서울특별시,서초구,방배1동
11650610,25.03,430.79,1408.4,1747.82,1556.03,1539.93,1438.69,1181.26,80.34,613.22,1572.01,1712.94,1340.16,1698.45,1758.73,1552.28,서울특별시,서초구,방배2동
11650620,55.11,769.12,911.13,1057.07,1331.24,1482.51,1327.61,1233.76,72.78,971.11,1096.98,1180.36,1536.68,1601.36,1492.97,1424.7,서울특별시,서초구,방배3동
11650621,77.54,990.67,1456.98,1964.11,2131.37,2340.76,1649.96,1513.86,183.08,1318.88,1749.63,2234.52,2608.58,2513.77,1878.04,1981.84,서울특별시,서초구,방배4동
11650651,197.92,2021.04,3352.46,5532.46,5500.19,5088.92,3648.34,3026.58,237.51,1934.53,3877.76,5140.61,4859.85,4536.19,4130.13,3934.54,서울특별시,서초구,양재1동
11650652,110.81,950.07,2629.98,4971.93,4443.08,4206.19,2797.18,1785.85,96.01,913.69,2868.05,3842.22,3134.09,3223.43,2715.63,2032.23,서울특별시,서초구,양재2동
11650660,80.43,836.38,1492.68,1980.6,2396.16,2238.8,1696.17,1512.88,114.04,763.93,1136.21,1823.28,2047.64,1768.58,1779.32,1656.62,서울특별시,서초구,내곡동
11680510,62.31,1028.92,2193.02,2826.27,2669.69,2405.47,1515.12,1442.4,124.74,1219.1,3495.77,3393.7,2746.37,2411.87,1657.3,1834.57,서울특별시,강남구,신사동
11680521,30.9,468.61,3295.5,5617.68,4209.48,3149.05,1801.49,1316.71,72.65,608.91,5127.68,5687.91,3463.67,2485.6,1797.32,1640.65,서울특별시,강남구,논현1동
11680531,46.51,727.69,2952.35,5255.72,4717.98,3524.61,1935.37,1460.48,93.09,617.68,4721.21,5637.03,3617.19,2684.41,1813.1,1835.92,서울특별시,강남구,논현2동
11680545,118.37,1377.35,2681.65,3632.59,3614.72,3069.27,2090.13,1869.07,182.07,1645.65,4296.84,4547.42,3995.5,3478.1,2640.97,2822.0,서울특별시,강남구,압구정동
11680565,131.37,1347.42,2520.88,3663.46,3655.74,3083.27,2233.25,1584.8,178.75,1042.53,3955.77,4569.71,3768.57,3078.22,2452.41,1970.2,서울특별시,강남구,청담동
