H_DNG_CD,M00,M10,M20,M30,M40,M50,M60,M70,F00,F10,F20,F30,F40,F50,F60,F70,SIDO_NM,SGG_NM,ADMI_NM
11140635,34.66,309.98,680.54,1211.51,1258.71,1221.9,1300.75,1200.29,54.88,328.83,869.42,1513.43,1125.0,1538.9,1432.33,1686.05,서울특별시,중구,약수동
11140645,31.86,248.91,390.97,583.71,437.47,595.37,487.71,394.43,28.91,204.25,494.91,646.11,471.95,593.91,606.44,555.41,서울특별시,중구,청구동
11140650,40.68,298.5,535.42,934.32,746.23,990.69,932.37,686.4,36.21,235.39,754.87,915.84,672.06,916.38,951.7,950.12,서울특별시,중구,신당5동
11140665,65.88,398.36,675.75,995.31,965.62,1262.61,1247.25,948.59,98.02,404.27,841.05,1145.58,1050.35,1437.91,1353.34,1373.3,서울특별시,중구,동화동
11140670,31.3,167.14,781.09,1585.37,932.94,972.92,867.4,827.7,45.17,198.84,1292.1,1620.42,966.83,833.74,958.28,945.88,서울특별시,중구,황학동
11140680,44.57,339.17,691.48,1177.62,1237.83,1201.97,999.74,722.28,62.58,273.69,938.51,1366.99,1158.79,1169.13,970.64,928.63,서울특별시,중구,중림동
11170510,57.68,455.42,732.64,1175.11,923.53,960.67,886.15,718.39,55.08,360.73,883.99,1136.72,1001.58,1112.09,1043.16,985.52,서울특별시,용산구,후암동
11170520,44.4,432.18,903.57,1125.66,819.89,770.97,694.89,735.66,29.34,359.72,1010.14,1053.82,700.51,804.91,788.06,1036.17,서울특별시,용산구,용산2가동
11170530,35.03,319.17,1594.8,2158.51,1793.6,2074.94,1603.71,1005.82,34.82,355.71,2034.81,2008.97,1361.63,1445.01,1243.79,908.57,서울특별시,용산구,남영동
11170555,60.44,782.97,1679.76,2205.81,1542.97,1904.89,1560.93,1174.85,81.54,834.38,3469.45,2126.71,1459.07,1858.74,1588.33,1691.86,서울특별시,용산구,청파동
11170560,49.67,321.36,1152.1,2285.06,1643.83,1486.18,1088.91,678.19,45.58,299.93,1825.31,2493.19,1411.35,1487.96,1023.76,767.75,서울특별시,용산구,원효로1동
11170570,81.52,414.11,789.9,1359.34,1216.74,1243.89,1102.12,846.79,106.73,557.44,1028.39,1294.15,1001.44,1197.0,1129.44,1167.44,서울특별시,용산구,원효로2동
11170580,44.92,308.54,588.41,894.87,798.89,795.67,601.74,509.3,61.9,340.05,865.4,980.63,815.07,854.59,632.07,694.23,서울특별시,용산구,효창동
11170590,22.03,263.91,617.85,854.71,696.64,839.96,787.66,696.25,33.65,275.93,710.65,876.81,695.2,966.73,951.09,996.0,서울특별시,용산구,용문동
11170625,134.5,1073.08,5078.54,7062.45,5454.7,4469.17,2879.83,1791.92,177.84,1103.09,6429.74,6970.69,4161.28,3954.79,2850.39,1975.1,서울특별시,용산구,한강로동
11170630,169.5,1204.35,1102.42,1393.65,1864.17,2074.97,1653.19,1518.56,166.37,1023.92,1143.46,1810.93,2334.53,2632.46,2017.06,2344.12,서울특별시,용산구,이촌1동
11170640,9.54,126.95,256.43,394.33,441.26,380.08,394.46,350.05,11.88,140.31,384.47,377.16,325.55,394.06,477.68,596.31,서울특별시,용산구,이촌2동
11170650,6.78,158.58,1322.57,1496.73,824.51,737.27,661.0,503.87,23.41,158.33,1242.97,1063.18,640.17,730.28,689.83,620.14,서울특별시,용산구,이태원1동
11170660,38.93,239.19,789.19,1157.0,868.46,740.69,689.71,635.82,20.35,237.52,960.67,1149.72,836.68,782.94,753.1,891.11,서울특별시,용산구,이태원2동
11170685,60.11,452.29,2021.07,2890.71,2441.73,2137.21,1562.1,1168.55,61.63,468.98,2621.52,3328.56,2429.32,2238.46,1719.46,1545.99,서울특별시,용산구,한남동
11170690,73.89,749.21,953.93,1132.31,1401.71,1578.56,1303.46,958.19,83.43,633.64,959.93,1166.22,1514.3,1587.01,1298.4,1409.82,서울특별시,용산구,서빙고동
11170700,7.0,277.25,455.43,567.78,487.9,598.36,577.86,398.48,22.66,118.99,358.06,445.73,453.08,611.88,694.15,578.48,서울특별시,용산구,보광동
11200520,61.04,379.17,652.5,1008.06,798.89,899.79,819.53,624.4,66.51,420.88,804.07,1083.4,839.14,976.25,910.18,875.63,서울특별시,성동구,왕십리2동
11200535,161.29,910.54,2128.56,2656.74,2440.26,2534.94,2229.66,1583.23,179.22,862.99,2726.65,2950.94,2502.15,2927.29,2338.87,2198.93,서울특별시,성동구,왕십리도선동
11200540,111.31,653.95,2078.17,1901.55,1576.27,2035.75,1905.78,1528.22,166.45,767.2,2040.05,1631.5,1388.35,2024.04,1923.31,2049.29,서울특별시,성동구,마장동
11200550,50.7,711.59,4186.72,1571.11,1018.65,1188.91,901.69,729.14,51.43,1094.22,3497.45,1248.4,960.37,1264.01,894.62,947.46,서울특별시,성동구,사근동
11200560,106.75,675.7,1917.64,1859.36,1571.46,1679.39,1411.27,1009.62,128.51,819.77,2163.41,1793.59,1491.19,1862.07,1490.93,1330.65,서울특별시,성동구,행당1동
11200570,101.39,773.59,986.57,1476.0,1488.32,1737.34,1457.28,1307.79,136.45,1000.28,1176.36,1691.13,1752.55,2000.74,1755.32,1993.53,서울특별시,성동구,행당2동
11200580,56.45,516.77,470.31,842.58,906.9,1088.63,876.8,842.61,91.3,584.07,550.65,983.14,1171.53,1301.75,976.56,1111.58,서울특별시,성동구,응봉동
11200590,90.23,511.29,642.2,1023.64,1168.85,1084.31,1036.98,855.05,116.58,499.49,713.15,1225.64,1250.5,1267.55,1339.12,1354.34,서울특별시,성동구,금호1가동
11200615,54.74,624.89,1072.6,1839.31,1667.57,1739.16,1592.2,1429.68,116.16,624.35,1184.92,2091.4,1733.19,1979.89,2027.14,2149.28,서울특별시,성동구,금호2.3가동
11200620,84.72,378.34,594.31,1213.82,1278.22,1210.13,1057.78,948.74,123.53,324.88,691.51,1436.51,1313.11,1390.12,1355.6,1498.17,서울특별시,성동구,금호4가동
11200645,110.93,707.86,793.24,1767.35,1806.43,1522.62,1430.64,1241.11,144.92,760.07,1099.15,2225.27,2073.94,1851.6,1927.14,1761.45,서울특별시,성동구,옥수동
11200650,48.14,423.52,1373.35,2153.12,1470.95,1619.97,1570.5,872.96,57.31,409.87,1836.41,2173.31,1327.5,1649.09,1444.84,985.9,서울특별시,성동구,성수1가1동
11200660,42.43,523.49,1886.24,2792.13,2060.05,1810.59,1376.14,863.21,69.77,566.47,2709.51,2855.01,1654.92,1600.67,1269.25,919.18,서울특별시,성동구,성수1가2동
11200670,44.5,378.9,1303.44,1915.02,1403.48,1683.57,1845.71,927.25,89.13,476.43,1554.27,1565.75,1106.26,1389.34,1452.06,1223.33,서울특별시,성동구,성수2가1동
11200690,71.0,477.23,2944.26,3926.57,2937.7,2809.68,1915.24,996.97,95.32,754.44,4220.51,3678.63,2198.22,2131.89,1360.3,1048.9,서울특별시,성동구,성수2가3동
11200720,12.75,213.79,953.14,1210.76,1017.97,994.39,948.4,617.4,36.15,217.22,954.3,953.31,743.2,775.83,892.05,713.5,서울특별시,성동구,송정동
11200790,50.59,295.93,1405.46,1738.87,1303.83,1815.09,1528.84,1103.52,84.05,291.33,1574.04,1406.43,900.39,1166.41,1084.45,1217.38,서울특별시,성동구,용답동
11215710,34.64,919.0,6236.36,3327.04,1767.66,1784.22,1291.97,1056.86,65.09,1095.85,7251.05,3042.31,1573.8,1567.01,1299.29,1251.7,서울특별시,광진구,화양동
11215730,49.76,511.81,2565.73,1680.99,1250.54,1340.22,1240.6,873.37,75.17,517.65,2482.81,1603.33,1208.2,1154.36,1183.52,1005.71,서울특별시,광진구,군자동
11215740,52.94,342.16,1114.37,1567.66,1166.1,1353.49,1289.07,981.34,64.78,281.45,1480.43,1579.28,1031.4,1318.4,1352.97,1151.8,서울특별시,광진구,중곡1동
11215750,91.0,515.13,1294.84,1702.13,1311.89,1490.4,1395.01,1167.19,82.01,466.99,1615.84,1774.1,1399.49,1716.86,1715.71,1456.98,서울특별시,광진구,중곡2동
11215760,52.84,347.07,947.8,1394.67,1083.67,1263.67,1301.9,972.98,58.17,347.79,1073.95,1278.33,977.32,1403.56,1396.21,1420.49,서울특별시,광진구,중곡3동
11215770,123.11,1060.51,1892.7,2315.84,1905.01,2572.65,2745.76,2175.38,155.77,1186.83,1853.97,2157.41,1966.76,3031.34,3116.38,2812.23,서울특별시,광진구,중곡4동
11215780,42.61,359.51,1404.78,1428.22,1044.49,936.45,806.51,703.32,67.58,470.03,1564.65,1539.37,1048.51,978.27,920.73,839.06,서울특별시,광진구,능동
11215810,284.21,2781.21,2109.76,1939.97,3095.65,3272.21,2296.27,1727.81,444.04,2958.76,2221.07,2362.52,4067.49,3577.76,2524.86,2171.95,서울특별시,광진구,광장동
11215820,61.33,564.91,1995.04,2081.79,1504.47,1713.21,1506.56,1111.58,77.9,575.83,2180.11,1983.68,1591.56,1722.84,1812.33,1468.64,서울특별시,광진구,자양1동
11215830,126.04,946.23,1621.99,2241.46,1951.1,2105.37,1961.42,1569.6,173.56,948.68,1664.7,2256.34,2089.81,2310.39,2209.42,1957.84,서울특별시,광진구,자양2동
11215840,125.17,1183.29,2006.19,2241.08,2176.32,2299.26,2077.26,1660.4,194.64,1403.23,2148.74,2377.37,2444.45,2738.63,2464.16,2087.74,서울특별시,광진구,자양3동
11215847,50.78,468.61,1775.58,2182.87,1501.25,1857.92,1781.47,1206.09,57.37,560.22,2218.32,2044.44,1449.76,1734.34,1810.92,1719.79,서울특별시,광진구,자양4동
11215850,44.15,490.5,2016.82,2311.47,1688.3,1527.56,1418.68,966.37,45.46,478.74,2356.65,2206.2,1377.46,1604.64,1562.32,1196.42,서울특별시,광진구,구의1동
11215860,142.64,1059.0,1569.45,1833.82,1952.43,2222.57,2017.96,1654.0,146.95,1241.5,1631.34,1943.84,2094.1,2472.61,2268.61,2200.3,서울특별시,광진구,구의2동
11215870,99.89,1241.79,2099.44,2826.28,2539.47,2800.3,2328.38,1650.36,187.57,1265.58,2608.47,2969.82,2613.83,3010.48,2491.59,2040.27,서울특별시,광진구,구의3동
11230536,122.67,937.4,3221.46,3943.91,3491.59,3919.49,3787.52,2899.56,144.27,754.83,3720.22,3860.26,3104.83,3807.04,3385.66,3252.75,서울특별시,동대문구,용신동
11230545,62.47,653.46,2282.54,1918.66,1642.84,2298.42,2513.67,2346.09,120.41,665.56,2211.49,1517.89,1428.6,2097.01,2397.29,2938.84,서울특별시,동대문구,제기동
11230560,155.25,1252.2,3082.69,2960.97,2875.87,3349.85,2981.42,2403.31,188.15,1329.18,3268.93,2827.65,2872.3,3416.87,3148.22,3125.98,서울특별시,동대문구,전농1동
11230570,106.87,851.44,1407.74,1171.29,1331.83,1614.78,1485.2,1318.66,144.34,893.78,1297.11,1199.8,1427.66,1778.24,1795.6,1813.82,서울특별시,동대문구,전농2동
11230600,158.14,752.3,1333.42,2101.02,2187.84,2001.83,1882.72,1429.15,225.61,930.18,1847.91,2292.73,2256.38,2131.67,2035.01,1949.22,서울특별시,동대문구,답십리1동
11230610,138.24,791.8,1453.83,2480.43,2220.16,2652.29,2645.71,2079.91,175.61,798.49,1520.23,2417.22,2135.51,2743.55,2916.22,2881.67,서울특별시,동대문구,답십리2동
11230650,147.71,671.06,1913.1,3238.75,3191.34,2919.44,3169.32,2102.32,169.41,772.15,2326.31,2985.25,2820.35,2999.46,2840.03,2338.33,서울특별시,동대문구,장안1동
11230660,246.11,1627.94,1844.3,2495.82,2976.27,2890.93,2510.64,1961.41,336.61,1437.11,1941.63,2617.26,3035.92,2860.31,2694.03,2485.93,서울특별시,동대문구,장안2동
11230705,56.59,440.68,1233.13,1461.97,1522.92,1872.8,2430.62,2139.0,62.76,436.36,1244.09,1263.0,1258.14,1929.32,2367.34,2752.72,서울특별시,동대문구,청량리동
11230710,48.55,609.96,2085.72,1138.98,855.16,1011.94,723.04,720.12,81.57,776.14,2666.37,1078.01,1000.26,1032.89,861.31,1029.14,서울특별시,동대문구,회기동
11230720,49.01,391.76,1596.85,1264.34,931.81,1074.2,978.32,861.4,55.71,448.93,2042.63,1183.06,913.61,1185.62,965.65,1164.64,서울특별시,동대문구,휘경1동
11230730,65.26,913.17,2780.93,1694.68,1552.31,1788.32,1573.97,1432.35,79.24,1107.12,2561.0,1526.5,1500.27,1969.76,1803.53,1838.07,서울특별시,동대문구,휘경2동
11230740,89.95,1106.5,3547.17,1844.23,1507.09,1771.64,1410.18,1124.4,88.48,1005.42,3868.93,1633.85,1471.75,1791.16,1395.31,1619.11,서울특별시,동대문구,이문1동
11230750,107.45,718.88,1029.75,1120.49,1341.23,1663.73,1587.33,1525.21,108.29,707.97,1041.39,1177.4,1336.88,1771.86,1651.45,2028.49,서울특별시,동대문구,이문2동
11260520,103.92,681.87,1338.03,1833.6,1829.9,2327.69,2408.11,1758.49,149.33,678.08,1403.72,1767.05,1542.28,2442.17,2550.78,2328.89,서울특별시,중랑구,면목2동
11260540,71.13,567.05,918.35,1218.68,1302.18,1474.77,1590.26,1336.06,85.76,457.35,910.37,1165.99,1259.09,1603.89,1655.18,1735.9,서울특별시,중랑구,면목4동
11260550,102.69,382.51,639.18,997.7,1068.1,1157.83,1142.82,865.9,118.6,365.34,640.6,1029.2,1036.79,1242.91,1197.3,1092.81,서울특별시,중랑구,면목5동
11260565,106.6,787.52,2241.17,2968.63,2420.07,3194.8,3176.85,2388.9,129.58,788.64,2362.3,2702.96,2209.13,3444.95,3440.3,3320.74,서울특별시,중랑구,면목본동
11260570,82.76,602.87,1096.89,1600.29,1483.26,1855.9,1941.4,1652.98,112.65,453.52,1172.92,1597.5,1360.05,1922.47,2189.36,2145.06,서울특별시,중랑구,면목7동
11260575,124.63,799.99,1731.16,1943.76,1795.51,2253.84,2306.65,1912.14,185.67,757.77,1760.63,1738.9,1667.72,2496.87,2638.37,2390.24,서울특별시,중랑구,면목3.8동
11260580,101.45,623.71,1137.07,1504.89,1516.87,1454.62,1722.89,1141.17,102.81,589.65,1186.99,1672.4,1452.54,2019.72,2083.83,1543.34,서울특별시,중랑구,상봉1동
11260590,60.16,426.01,2094.72,2831.68,1716.04,2057.58,1929.94,1357.99,70.01,426.64,2853.79,2796.73,1709.47,2105.39,2034.2,1582.15,서울특별시,중랑구,상봉2동
11260600,85.19,691.72,1015.93,1457.92,1307.84,1410.07,1684.92,1345.6,95.27,631.74,979.94,1303.32,1161.96,1608.71,1910.18,1689.65,서울특별시,중랑구,중화1동
11260610,106.89,503.95,1283.13,1823.45,1541.87,2105.55,2403.35,1818.74,100.95,387.57,1363.23,1525.37,1357.33,1994.45,2191.41,2302.8,서울특별시,중랑구,중화2동
11260620,152.82,1253.06,1609.29,1966.03,2243.39,2429.44,2368.16,2307.28,168.31,1188.43,1954.88,2076.71,2247.47,2868.25,2895.06,2956.65,서울특별시,중랑구,묵1동
11260630,101.91,648.58,1363.71,1759.45,1624.43,1971.39,1882.15,1612.99,125.13,571.23,1647.22,1627.71,1618.55,2159.7,2228.77,2018.14,서울특별시,중랑구,묵2동
11260655,249.23,1539.76,2015.42,3503.12,3231.41,3429.08,3741.49,2663.3,287.33,1659.88,2422.61,3553.66,3099.66,3625.71,4000.99,3329.8,서울특별시,중랑구,망우본동
11260660,79.03,313.27,621.73,751.32,791.3,1160.89,1381.94,850.73,63.54,312.77,562.86,609.54,707.34,1193.46,1322.65,1167.46,서울특별시,중랑구,망우3동
11260680,255.0,1620.56,2021.47,2482.11,2836.38,3369.5,3401.38,2661.99,357.6,1708.02,2071.56,2576.08,3017.16,3761.47,3731.71,3518.55,서울특별시,중랑구,신내1동
11260690,123.93,758.82,847.92,1255.1,1245.49,1405.94,1460.37,1327.14,132.51,716.67,929.84,1363.25,1324.84,1698.24,1880.43,1920.04,서울특별시,중랑구,신내2동
11290525,70.6,869.46,1569.36,1614.15,1362.19,1748.7,1574.44,1375.92,94.02,703.5,1684.6,1744.32,1565.85,2085.58,1880.65,2007.91,서울특별시,성북구,성북동
11290555,90.53,980.03,2204.55,1824.14,1745.6,2263.63,1679.87,1466.94,110.64,1143.72,2503.21,1921.79,1767.58,2362.35,1914.86,2153.76,서울특별시,성북구,삼선동
11290575,75.79,744.65,2185.31,1747.75,1254.41,1361.92,1062.28,919.28,129.65,1391.96,4456.58,1767.91,1319.46,1553.35,1203.3,1330.22,서울특별시,성북구,동선동
11290580,57.31,553.43,624.32,777.43,789.79,1082.52,1018.07,948.06,92.79,520.63,834.97,869.25,879.38,1287.27,1244.94,1402.34,서울특별시,성북구,돈암1동
11290590,66.05,506.41,449.16,540.84,736.92,802.43,675.26,542.61,121.72,491.77,503.34,661.42,898.78,1048.21,890.81,753.86,서울특별시,성북구,돈암2동
11290600,33.53,1063.31,4929.43,1984.64,1328.23,1643.37,1326.05,1079.79,61.35,762.44,4482.85,1720.99,1306.89,1652.08,1335.67,1425.93,서울특별시,성북구,안암동
11290610,90.44,436.6,1330.19,1536.6,1321.91,1577.91,1291.49,1025.38,95.74,467.26,1530.31,1520.77,1260.75,1712.85,1476.9,1445.47,서울특별시,성북구,보문동
11290620,101.8,609.68,849.02,870.45,1113.62,1186.76,949.67,1046.75,113.88,633.45,874.69,1151.16,1277.66,1473.59,1113.12,1373.89,서울특별시,성북구,정릉1동
11290630,139.61,702.93,1253.92,1275.68,1302.89,1703.59,1596.67,1499.38,141.78,663.18,1301.1,1350.69,1380.5,1908.3,1913.7,2121.57,서울특별시,성북구,정릉2동
11290640,32.63,803.23,2900.6,1093.8,770.76,1170.78,922.67,808.92,43.11,675.59,2288.67,901.12,699.88,1065.86,1006.53,1185.19,서울특별시,성북구,정릉3동
11290650,86.6,886.95,1548.63,1359.76,1510.59,2008.94,1772.44,1755.28,94.58,882.82,1527.41,1385.17,1630.03,2191.35,2177.96,2321.83,서울특별시,성북구,정릉4동
11290660,267.97,2426.97,1670.54,1655.35,2874.83,2966.23,1692.48,1661.82,425.21,2636.6,1857.61,2095.61,3774.57,3182.52,2294.6,2448.64,서울특별시,성북구,길음1동
11290685,152.37,962.96,1213.97,1306.74,1739.61,1796.55,1374.03,1134.12,180.97,1006.71,1359.05,1629.54,2152.18,2255.96,1693.88,1528.7,서울특별시,성북구,길음2동
11290705,206.51,1836.49,2937.94,2586.12,2784.28,3326.55,2807.28,2489.85,247.55,1575.02,2881.78,2445.3,2965.5,3592.75,3198.16,3673.79,서울특별시,성북구,종암동
11290715,189.42,1283.34,1201.58,1640.38,1969.17,2308.34,1794.4,1619.02,227.91,1512.26,1327.75,1707.44,2174.67,2443.93,2266.22,2287.91,서울특별시,성북구,월곡1동
11290725,114.84,857.53,1544.18,1653.2,1548.08,1995.53,1755.43,1591.55,136.47,897.54,2426.37,1487.06,1548.77,2057.76,2027.11,2132.41,서울특별시,성북구,월곡2동
11290760,164.72,895.63,1372.46,1640.82,1718.03,2028.01,1956.04,1502.79,242.15,893.88,1422.61,1582.04,1721.79,2346.49,2248.05,2110.58,서울특별시,성북구,장위1동
11290770,52.62,337.77,763.98,969.26,867.03,1126.66,980.0,1035.93,78.58,325.39,831.05,969.02,811.21,1277.42,1334.93,1454.05,서울특별시,성북구,장위2동
11290780,85.4,522.07,697.23,1033.93,958.61,1020.31,968.1,924.99,118.99,395.89,847.02,1039.69,1000.77,1175.66,1218.75,1275.54,서울특별시,성북구,장위3동
11290810,94.26,855.28,1870.17,2196.46,2052.16,2685.75,2625.29,2142.68,128.1,770.73,2177.99,2069.81,1745.84,2733.32,2948.29,2788.33,서울특별시,성북구,석관동
11305534,160.01,944.25,1384.33,1525.81,1793.9,2143.48,2106.76,1806.41,161.45,772.89,1312.54,1403.44,1655.67,2357.94,2274.87,2374.57,서울특별시,강북구,삼양동
11305535,77.99,745.46,1406.8,1600.17,1350.64,1692.12,1849.99,1425.17,63.1,430.97,1856.8,1332.87,1241.91,2107.63,2193.13,2257.15,서울특별시,강북구,미아동
11305545,202.89,1027.51,1955.39,2195.23,2306.04,2715.94,2645.7,2402.99,184.41,1225.88,2331.29,2162.61,2398.73,3325.02,3274.34,3254.31,서울특별시,강북구,송중동
11305555,99.5,872.93,1366.22,1635.29,1746.18,2396.41,2618.09,2248.99,110.89,958.63,1362.52,1412.99,1619.51,2546.35,2762.4,3055.96,서울특별시,강북구,송천동
11305575,197.68,1332.62,1169.44,1347.92,2053.9,2030.43,1546.6,1444.36,220.19,1377.33,1170.94,1543.16,2409.37,2545.71,1931.34,2202.92,서울특별시,강북구,삼각산동
11305595,70.3,448.63,1558.37,1686.24,1611.98,2016.04,1751.16,1442.06,92.17,472.37,1772.96,1405.21,1389.83,1928.03,1775.1,1832.22,서울특별시,강북구,번1동
11305603,85.3,479.99,838.89,876.42,1022.61,1322.81,1390.91,1383.17,67.14,420.52,814.18,794.34,913.42,1388.01,1581.56,2276.13,서울특별시,강북구,번2동
11305608,75.58,568.74,781.84,881.42,1097.02,1570.5,1538.43,1783.46,103.82,503.32,810.22,908.82,1110.14,1625.39,1717.71,2915.93,서울특별시,강북구,번3동
11305615,82.0,430.64,1120.68,1271.27,1228.34,1471.56,1603.81,1401.61,97.34,492.44,1197.74,1111.79,1133.07,1701.86,1821.98,1781.87,서울특별시,강북구,수유1동
11305625,109.42,630.68,1075.38,1251.0,1383.32,1836.18,1809.94,1806.99,133.42,542.92,1262.06,1116.3,1302.47,2016.23,2215.97,2685.13,서울특별시,강북구,수유2동
11305635,37.31,522.96,2282.2,2264.8,1941.07,2401.41,2154.23,1593.35,52.98,569.82,2583.97,1870.33,1675.51,2425.06,2305.15,2412.94,서울특별시,강북구,수유3동
11305645,104.82,715.48,1125.89,1442.41,1560.18,2158.0,2158.79,2021.37,138.81,715.12,1383.61,1363.25,1524.46,2263.26,2391.26,2793.31,서울특별시,강북구,우이동
11305660,154.94,955.98,1412.49,1699.42,1890.24,2406.22,2463.54,2454.48,182.37,908.48,1501.07,1575.05,1815.66,2610.44,2930.81,3572.41,서울특별시,강북구,인수동
11320511,106.7,971.08,1327.13,1584.46,1622.72,2016.76,1848.62,1728.19,149.34,933.38,1411.28,1540.6,1793.81,2376.84,2274.36,2408.8,서울특별시,도봉구,창1동
11320512,142.98,905.78,1770.83,2034.95,2086.5,2556.23,2441.91,2190.98,194.58,813.14,1799.88,1977.19,2142.34,2838.42,2827.9,2885.67,서울특별시,도봉구,창2동
11320513,78.0,380.8,618.36,672.89,857.84,1084.79,1008.47,904.55,59.14,345.86,549.86,574.14,750.78,1149.39,1202.77,1304.28,서울특별시,도봉구,창3동
11320514,131.63,1364.16,1822.32,2051.74,2138.47,2715.15,2766.44,2064.41,185.49,1249.35,2007.37,2056.83,2288.36,3152.44,3023.54,2541.33,서울특별시,도봉구,창4동
11320515,101.6,820.09,1422.63,1671.56,1524.88,1869.92,1875.99,1598.54,111.4,799.18,1509.28,1757.5,1644.17,2311.98,2293.06,1945.25,서울특별시,도봉구,창5동
11320521,85.48,553.52,1067.03,1323.39,1453.84,2269.96,2626.71,2713.16,72.24,428.78,1037.85,1101.71,1307.55,2140.92,2583.34,3178.37,서울특별시,도봉구,도봉1동
11320522,133.14,759.99,1299.24,1676.56,1842.44,2161.44,2477.94,2569.24,164.4,703.07,1224.86,1693.96,1758.89,2346.52,2787.46,2931.94,서울특별시,도봉구,도봉2동
11320660,114.9,693.33,958.92,1060.76,1189.74,1599.82,1571.49,1600.37,108.18,803.98,1717.73,1071.97,1199.26,1663.8,1746.26,2075.56,서울특별시,도봉구,쌍문1동
11320670,91.87,635.54,996.83,1134.11,1155.64,1403.86,1397.02,1243.19,134.38,579.66,970.88,1126.24,1194.94,1711.54,1836.01,1813.48,서울특별시,도봉구,쌍문2동
11320680,52.51,375.61,981.08,1182.53,1050.21,1286.69,1275.87,1092.3,65.11,441.84,1099.46,1022.73,1027.77,1432.21,1583.5,1500.81,서울특별시,도봉구,쌍문3동
11320681,120.19,1413.5,943.61,1174.69,1381.83,1530.64,1720.21,1418.67,173.76,1051.86,940.71,1290.01,1671.54,2126.72,2254.78,1889.17,서울특별시,도봉구,쌍문4동
11320690,136.81,937.0,1549.64,1918.04,2090.9,2681.31,2632.4,2334.88,121.73,891.63,1657.38,1746.53,2007.21,2864.3,3011.46,2722.62,서울특별시,도봉구,방학1동
11320700,60.35,445.55,935.28,1036.37,1138.96,1610.16,1799.06,1647.53,62.82,366.01,822.73,845.89,1081.34,1732.34,1901.43,2090.32,서울특별시,도봉구,방학2동
11320710,148.68,1062.71,1218.83,1368.97,1585.18,1926.21,2192.17,1973.02,183.32,983.58,1126.61,1300.65,1757.65,2392.37,2785.48,2645.3,서울특별시,도봉구,방학3동
11350560,76.05,1190.9,2813.58,1444.55,1496.58,1901.16,1772.26,1609.6,88.35,813.63,1787.6,1215.7,1382.23,1749.99,1773.09,1964.98,서울특별시,노원구,월계1동
11350570,154.59,1127.38,1513.69,1320.83,1794.54,2193.84,2133.18,1851.84,143.15,1215.69,1376.94,1363.3,1942.75,2283.46,2573.36,2733.38,서울특별시,노원구,월계2동
11350580,157.0,1120.32,1587.8,2285.03,2237.1,2410.14,2344.76,2344.86,175.71,1038.05,1631.5,2363.39,2351.27,2870.61,3119.75,3381.55,서울특별시,노원구,월계3동
11350595,146.35,1145.73,3339.5,2704.9,2675.54,3075.8,2958.85,2582.65,234.48,1226.43,3536.34,2641.71,2718.56,3316.38,3498.2,3407.74,서울특별시,노원구,공릉1동
11350600,269.73,2882.96,4694.06,3187.95,3395.66,3698.7,3024.68,2435.07,406.37,2850.03,4733.85,3211.51,3891.12,4047.78,3439.64,3037.03,서울특별시,노원구,공릉2동
11350611,98.9,1840.11,2478.53,1596.24,1655.49,2556.45,2238.81,1648.42,152.9,1574.2,2314.87,1579.02,2001.61,2942.19,2671.33,2795.3,서울특별시,노원구,하계1동
11350612,72.12,819.05,761.86,937.58,1030.67,1234.62,1193.64,720.28,85.32,672.4,859.36,1063.77,1204.69,1480.67,1437.84,1006.68,서울특별시,노원구,하계2동
11350619,190.46,2690.79,1280.91,947.0,1795.47,2228.9,1483.57,911.95,227.05,2878.92,1408.9,1012.65,2525.0,2557.51,1578.84,1247.57,서울특별시,노원구,중계본동
11350621,186.4,2990.94,1325.47,929.15,2172.3,2394.75,1397.13,879.26,235.31,2551.54,1317.2,1114.37,3219.36,2709.26,1713.34,1433.85,서울특별시,노원구,중계1동
11350624,97.83,1123.12,1024.15,950.77,1246.83,1676.95,1488.38,1393.52,82.37,820.87,935.42,910.22,1362.72,1942.85,1697.19,2271.01,서울특별시,노원구,중계4동
11350625,134.03,1283.47,1579.11,1855.38,2061.0,2579.28,2279.0,2109.44,168.04,1499.67,1690.58,1938.04,2472.13,3220.16,3043.35,3694.36,서울특별시,노원구,중계2.3동
11350630,237.76,1523.22,2076.65,2269.6,2486.48,3298.39,3481.84,3045.56,276.65,1476.23,2085.63,2248.31,2751.39,3865.27,4052.09,3805.01,서울특별시,노원구,상계1동
11350640,107.03,1033.19,2305.77,1843.91,1688.22,2303.97,2055.2,1512.88,123.01,1168.44,2168.25,1619.39,1728.54,2624.65,2311.17,1981.66,서울특별시,노원구,상계2동
11350665,158.5,1052.72,1451.77,1450.23,1846.0,2573.95,2540.84,2403.66,172.59,962.8,1315.49,1360.83,1873.71,2705.98,2664.68,3138.78,서울특별시,노원구,상계3.4동
11350670,99.21,495.06,968.1,1148.43,1124.23,1451.79,1394.8,1233.62,71.51,559.97,955.55,1017.42,1021.56,1815.71,1809.21,1901.34,서울특별시,노원구,상계5동
11350695,146.91,1567.26,2557.48,2973.52,2714.38,3225.68,2594.04,2116.3,191.38,1525.62,3096.64,3388.93,3460.1,4435.66,3570.67,3173.57,서울특별시,노원구,상계6.7동
11350700,139.97,942.98,1058.1,2014.94,1529.97,1353.56,1144.67,1114.57,142.88,929.75,1095.94,2238.76,1779.08,1830.96,1592.96,1566.2,서울특별시,노원구,상계8동
